Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,170.160004,170.330002,166.990005,169.820007,169.188187,57997300
2024-01-03,169.949997,170.349991,167.220001,167.360001,166.738861,61045200
2024-01-04,167.669998,170.389999,166.850006,169.949997,169.317627,45502700
2024-01-05,170.279999,172.399994,170.050003,171.800003,171.160599,46401600
2024-01-08,171.809998,172.679993,171.080002,171.300003,170.662796,41741100
2024-01-09,171.500000,173.559998,171.050003,173.490005,172.845886,48122900
2024-01-10,173.169998,173.779999,172.000000,172.580002,171.940475,46437900
2024-01-11,173.000000,173.600006,172.300003,173.220001,172.577148,49463100
2024-01-12,173.350006,173.940002,172.589996,173.770004,173.123444,41724700
2024-01-16,173.820007,175.080002,173.509995,174.350006,173.700912,65085400
